User_ID,User_Name,Platform,Date,State,Region,Content_ID,Followers,Views,Likes,Shares,Comments,Revenue_Source,Revenue
USR06IPCY,Emily Wilson,Twitter/X,2023,Kentucky,North,CNT9DKM1C,4360603,1194794,1812451,338088,69562,Sponsorship,163546
USRIVW5ES,Laura Miller,Twitter/X,2021,Kentucky,Central,CNT1ATZPK,745273,9479215,208217,403482,169266,Collaboration,244769
USR3W807E,Chris Miller,YouTube,2024,Nebraska,Central,CNTB6Z3KK,2290023,108514,283668,352240,100986,Guest Appearance,20107
USRDMI8Z9,Emma Wilson,Facebook,2022,Massachusetts,South,CNTC6JVBL,1173305,3433154,1333670,103509,192251,Collaboration,380374
USRBGKRGE,Emily Williams,YouTube,2022,Alabama,North,CNTLN00HR,2020136,7824619,1861942,56827,95488,Collaboration,175042
USRUQ6LYQ,Laura Smith,Snapchat,2024,Arkansas,West,CNTO2JW92,4270431,6739452,944547,9431,176481,Patreon,192390
USRHENZFZ,David Smith,Twitter/X,2021,North Carolina,North,CNT5G9LSJ,4209221,2922905,1261940,300733,135023,Collaboration,303906
USRSZ73BJ,John Garcia,Snapchat,2023,West Virginia,East,CNTW4HK6K,3793293,8621158,463971,82722,21405,Patreon,433065
USRWUIDOF,Emily Miller,Twitter/X,2021,West Virginia,South,CNTCW24EF,2324549,3941141,1005721,270000,183128,Guest Appearance,131025
USR0W8IZ4,David Wilson,Snapchat,2021,North Carolina,East,CNT2KT0E1,1557640,4459782,38331,317984,199713,Consultancy,203195
USRCARFY1,Laura Jones,Instagram,2024,Wisconsin,Central,CNTX315MH,1943630,8005252,624924,238064,3183,Sponsorship,497128
USRO8CS0O,Laura Wilson,Twitter/X,2023,California,North,CNTTEM7DX,1638438,8323325,1879344,281720,126032,Collaboration,355101
USRIFW88E,Michael Jones,Facebook,2022,Tennessee,East,CNTHCWYI7,4215204,2257903,577129,49875,161915,Collaboration,475074
USR6I9QWS,Alex Martinez,YouTube,2023,Virginia,Central,CNTQ7MUQ0,3784811,3270596,440189,439237,71223,Patreon,230669
USRIG0GCT,Laura Wilson,Instagram,2022,New York,West,CNTWSC6DV,162266,7082317,319154,207563,1264,Guest Appearance,220692
USRHMB2I5,Alex Johnson,YouTube,2020,Montana,South,CNTWJ7OAC,4311063,1808736,1297111,220799,81283,Collaboration,144540
USROVTW1Q,John Johnson,Facebook,2024,Alabama,Central,CNTAWURXO,2845723,3037618,1838650,256395,28622,Patreon,480179
USRITHZVV,David Brown,Instagram,2020,Maine,East,CNTTZX1B4,1672545,5577172,1752220,332418,171550,Patreon,22474
USR26K79R,David Smith,YouTube,2021,North Carolina,Central,CNTC4QDHZ,109835,989196,1218162,396029,98162,Guest Appearance,214895
